1	0.000000	5.815079	3.167937	2.463500	1.611867	6.876280	2.866198	4.664036	3.987698	4.856182	4.364042	4.466596	2.610032
2	0.000000	5.792457	3.221103	4.583664	2.315638	4.790925	2.658571	5.125118	3.004126	4.771507	4.863187	5.276340	1.125246
3	0.000000	3.632542	1.996207	1.389807	7.503830	5.790895	4.023916	4.220914	2.043368	2.947974	2.451997	6.714436	2.551218
4	0.000000	3.515546	2.908918	2.071829	5.998765	4.960069	1.880413	1.567880	1.472072	4.922871	2.248326	5.300705	2.947541
5	0.000000	6.613916	4.345174	5.783867	2.682702	1.262309	0.795349	5.590144	3.934830	1.873639	2.178578	2.967552	3.570831
6	0.000000	2.321350	2.719291	2.416484	5.934566	3.745593	6.717830	6.099761	5.592233	6.770246	5.438354	6.350130	2.289687
7	0.000000	6.470671	5.893475	5.045207	4.068340	1.827420	4.351546	2.247797	3.502594	1.282425	7.277302	6.692651	7.127243
8	0.000000	1.701448	4.861547	3.384030	3.417520	3.011403	2.076055	6.093895	2.912787	6.522640	4.471438	6.304660	2.795043
9	0.000000	7.351780	4.078720	6.155296	6.891214	2.260054	2.607035	1.552893	3.019270	2.068572	6.590890	4.431428	4.389106
10	0.000000	6.474058	4.267402	1.948445	4.405080	2.373465	6.869603	2.582551	2.158301	1.387390	6.113814	5.638131	2.223606
11	0.000000	3.112827	5.686408	2.522581	4.521470	2.639387	3.175932	1.599930	6.515149	6.162047	6.266367	5.187483	2.065476
12	0.000000	6.524585	5.489263	5.466594	4.762577	4.396852	6.388308	3.349450	4.739149	2.573035	4.142261	3.164051	6.143728
